.//data/xbox/train/qwen72B_v2/gpt_conv_data.csv: Total tokens = 6002, Total cost = $0.0560
.//data/xbox/train/qwen72B_v2/gpt_user_sum_data.csv: Total tokens = 3952, Total cost = $0.0444
.//data/xbox/train/qwen72B_v2/gpt_query_data.csv: Total tokens = 134062, Total cost = $0.9337
.//data/xbox/train/qwen72B_v2/gpt_neg_query_data.csv: Total tokens = 106902, Total cost = $0.8717
./data/xbox/test/qwen72B/query_qwen72B.csv: Total tokens = 64307, Total cost = $0.4018      10history
.//data/xbox/train/qwen72B_v2/gpt_conv_data.csv: Total tokens = 6002, Total cost = $0.0560, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_user_sum_data.csv: Total tokens = 3952, Total cost = $0.0444, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_query_data.csv: Total tokens = 134062, Total cost = $0.9337, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_neg_query_data.csv: Total tokens = 106902, Total cost = $0.8717, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
./data/xbox/test/qwen72B/query_qwen72B.csv: Total tokens = 106366, Total cost = $0.7124, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct    10000history
.//data/xbox/train/qwen72B/query_qwen72B.csv: Total tokens = 450012, Total cost = $3.3085, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_conv_data.csv: Total tokens = 6536690, Total cost = $60.1954, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_user_sum_data.csv: Total tokens = 40051016, Total cost = $436.3926, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_query_data.csv: Total tokens = 135176, Total cost = $0.9452, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_neg_query_data.csv: Total tokens = 105759, Total cost = $0.8536, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
./data/xbox/test/qwen72B/query_qwen72B.csv: Total tokens = 359186, Total cost = $2.6955, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox_gpt/train/gpt-4o/query_gpt-4o.csv: Total tokens = 434490, Total cost = $3.2301, model = None && gpt-4o
.//data/xbox/train/qwen72B/query_qwen72B.csv: Total tokens = 180427, Total cost = $1.1454, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_conv_data.csv: Total tokens = 660799, Total cost = $6.0975, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_user_sum_data.csv: Total tokens = 414021, Total cost = $4.5281, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_query_data.csv: Total tokens = 134202, Total cost = $0.9286, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_neg_query_data.csv: Total tokens = 106055, Total cost = $0.8551, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
./data/xbox/test/qwen72B/query_qwen72B.csv: Total tokens = 60897, Total cost = $0.3899, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B/query_qwen72B.csv: Total tokens = 180427, Total cost = $1.1454, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_conv_data.csv: Total tokens = 660799, Total cost = $6.0975, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_user_sum_data.csv: Total tokens = 414021, Total cost = $4.5281, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_query_data.csv: Total tokens = 134202, Total cost = $0.9286, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_neg_query_data.csv: Total tokens = 106055, Total cost = $0.8551, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
./data/xbox/test/qwen72B/query_qwen72B.csv: Total tokens = 60897, Total cost = $0.3899, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B/query_qwen72B.csv: Total tokens = 307492, Total cost = $2.1264, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_conv_data.csv: Total tokens = 6902837, Total cost = $63.9794, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_user_sum_data.csv: Total tokens = 13141033, Total cost = $142.6644, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_query_data.csv: Total tokens = 134549, Total cost = $0.9364, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_neg_query_data.csv: Total tokens = 107724, Total cost = $0.8816, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
./data/xbox/test/qwen72B/query_qwen72B.csv: Total tokens = 219074, Total cost = $1.5527, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B/query_qwen72B.csv: Total tokens = 0, Total cost = $0.0000, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B/query_qwen72B.csv: Total tokens = 307492, Total cost = $2.1264, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_conv_data.csv: Total tokens = 6902837, Total cost = $63.9794, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_user_sum_data.csv: Total tokens = 13141033, Total cost = $142.6644, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_query_data.csv: Total tokens = 134549, Total cost = $0.9364, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_neg_query_data.csv: Total tokens = 107724, Total cost = $0.8816, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
./data/xbox/test/qwen72B/query_qwen72B.csv: Total tokens = 219074, Total cost = $1.5527, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
./data/xbox/test/qwen72B/query_qwen72B.csv: Total tokens = 219074, Total cost = $1.5527, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B/query_qwen72B.csv: Total tokens = 0, Total cost = $0.0000, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B/query_qwen72B.csv: Total tokens = 307430, Total cost = $2.1257, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_conv_data.csv: Total tokens = 702774, Total cost = $6.5108, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B/query_qwen72B.csv: Total tokens = 307430, Total cost = $2.1257, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_conv_data.csv: Total tokens = 6899832, Total cost = $63.9364, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_user_sum_data.csv: Total tokens = 13149816, Total cost = $142.8017, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_query_data.csv: Total tokens = 134435, Total cost = $0.9347, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
.//data/xbox/train/qwen72B_v2/gpt_neg_query_data.csv: Total tokens = 107377, Total cost = $0.8764, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
./data/xbox/test/qwen72B/query_qwen72B.csv: Total tokens = 219430, Total cost = $1.5582, model = onlinevllm && Qwen/Qwen2.5-72B-Instruct
