  0%|                                                                                                                                                | 0/1776 [00:00<?, ?it/s]You're using a XLMRobertaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
/opt/conda/envs/ptca/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2888: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
/opt/conda/envs/ptca/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:600: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/opt/conda/envs/ptca/lib/python3.10/site-packages/torch/utils/checkpoint.py:295: FutureWarning: `torch.cpu.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cpu', args...)` instead.
  with torch.enable_grad(), device_autocast_ctx, torch.cpu.amp.autocast(**ctx.cpu_autocast_kwargs):  # type: ignore[attr-defined]
                                                                                                                                                                              
{'loss': 4.082, 'grad_norm': 5.1876764841967065, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.6821, 'grad_norm': 2.9272864509963017, 'learning_rate': 1.3376613936737559e-05, 'epoch': 0.0}
{'loss': 3.6887, 'grad_norm': 3.401280408875429, 'learning_rate': 2.1201431476353032e-05, 'epoch': 0.0}
{'loss': 3.6567, 'grad_norm': 3.9484338480332832, 'learning_rate': 2.6753227873475117e-05, 'epoch': 0.0}
{'loss': 3.6311, 'grad_norm': 2.1570079411204404, 'learning_rate': 3.105953571417278e-05, 'epoch': 0.0}
{'loss': 3.5944, 'grad_norm': 1.9371170773038606, 'learning_rate': 3.4578045413090585e-05, 'epoch': 0.0}
{'loss': 3.5219, 'grad_norm': 2.610535415014639, 'learning_rate': 3.755290297576453e-05, 'epoch': 0.0}
{'loss': 3.5406, 'grad_norm': 2.6577853982430586, 'learning_rate': 4.012984181021267e-05, 'epoch': 0.0}
{'loss': 3.4877, 'grad_norm': 2.2013352070335825, 'learning_rate': 4.2402862952706063e-05, 'epoch': 0.01}
{'loss': 3.45, 'grad_norm': 2.6613502455609104, 'learning_rate': 4.443614965091034e-05, 'epoch': 0.01}
{'loss': 3.4246, 'grad_norm': 2.3431079239323527, 'learning_rate': 4.6275481203054244e-05, 'epoch': 0.01}
{'loss': 3.4527, 'grad_norm': 2.344287861460827, 'learning_rate': 4.795465934982815e-05, 'epoch': 0.01}
{'loss': 3.4592, 'grad_norm': 3.338204178834393, 'learning_rate': 4.9499353505743336e-05, 'epoch': 0.01}
{'loss': 3.3704, 'grad_norm': 3.59039853596139, 'learning_rate': 5.092951691250209e-05, 'epoch': 0.01}
{'loss': 3.3733, 'grad_norm': 3.4840557140270914, 'learning_rate': 5.2260967190525814e-05, 'epoch': 0.01}
{'loss': 3.3864, 'grad_norm': 2.947500534251701, 'learning_rate': 5.3506455746950235e-05, 'epoch': 0.01}
{'loss': 3.451, 'grad_norm': 2.8769622408948416, 'learning_rate': 5.467641240816619e-05, 'epoch': 0.01}
{'loss': 3.416, 'grad_norm': 2.4332268256127687, 'learning_rate': 5.5779476889443614e-05, 'epoch': 0.01}
{'loss': 3.4327, 'grad_norm': 3.0752249286542286, 'learning_rate': 5.682288637858039e-05, 'epoch': 0.01}
{'loss': 3.4527, 'grad_norm': 2.8313596994735115, 'learning_rate': 5.78127635876479e-05, 'epoch': 0.01}
{'loss': 3.4587, 'grad_norm': 3.3402087988090075, 'learning_rate': 5.8754334452117565e-05, 'epoch': 0.01}
{'loss': 3.3866, 'grad_norm': 2.5598842947859284, 'learning_rate': 5.965209513979181e-05, 'epoch': 0.01}
{'loss': 3.3988, 'grad_norm': 4.619926350324415, 'learning_rate': 6.050994190508805e-05, 'epoch': 0.01}
{'loss': 3.3403, 'grad_norm': 2.6443085569664144, 'learning_rate': 6.13312732865657e-05, 'epoch': 0.01}
{'loss': 3.3554, 'grad_norm': 3.119383838895559, 'learning_rate': 6.211907142834556e-05, 'epoch': 0.01}
{'loss': 3.4198, 'grad_norm': 3.3705844958626985, 'learning_rate': 6.28759674424809e-05, 'epoch': 0.01}
{'loss': 3.3813, 'grad_norm': 8.21003150478549, 'learning_rate': 6.360429442905909e-05, 'epoch': 0.02}
{'loss': 3.423, 'grad_norm': 3.140532079432299, 'learning_rate': 6.430613084923964e-05, 'epoch': 0.02}
{'loss': 3.4138, 'grad_norm': 3.3953346557175195, 'learning_rate': 6.498333628382968e-05, 'epoch': 0.02}
{'loss': 3.4698, 'grad_norm': 2.947697571789115, 'learning_rate': 6.563758112726337e-05, 'epoch': 0.02}
{'loss': 3.3543, 'grad_norm': 2.748863679027919, 'learning_rate': 6.627037141085487e-05, 'epoch': 0.02}
{'loss': 3.3328, 'grad_norm': 2.4074835649763227, 'learning_rate': 6.688306968368779e-05, 'epoch': 0.02}
{'loss': 3.328, 'grad_norm': 5.356717621411185, 'learning_rate': 6.747691267940727e-05, 'epoch': 0.02}
{'loss': 3.2932, 'grad_norm': 4.084160909025322, 'learning_rate': 6.805302634490375e-05, 'epoch': 0.02}
{'loss': 3.3263, 'grad_norm': 4.122828981541092, 'learning_rate': 6.861243868993731e-05, 'epoch': 0.02}
{'loss': 3.3142, 'grad_norm': 3.9015247298838833, 'learning_rate': 6.915609082618117e-05, 'epoch': 0.02}
{'loss': 3.4322, 'grad_norm': 3.3054886516421824, 'learning_rate': 6.96848464934566e-05, 'epoch': 0.02}
{'loss': 3.3824, 'grad_norm': 2.664553868237973, 'learning_rate': 7.019950031531794e-05, 'epoch': 0.02}
{'loss': 3.3844, 'grad_norm': 2.0427325314559317, 'learning_rate': 7.070078498209637e-05, 'epoch': 0.02}
{'loss': 3.3689, 'grad_norm': 3.1109431160876606, 'learning_rate': 7.118937752438546e-05, 'epoch': 0.02}
{'loss': 3.3633, 'grad_norm': 2.1829790536502034, 'learning_rate': 7.166590481177051e-05, 'epoch': 0.02}
{'loss': 3.3478, 'grad_norm': 2.005207316080471, 'learning_rate': 7.213094838885512e-05, 'epoch': 0.02}
{'loss': 3.2986, 'grad_norm': 3.218870586617852, 'learning_rate': 7.25850487421759e-05, 'epoch': 0.02}
{'loss': 3.3251, 'grad_norm': 2.327053770892394, 'learning_rate': 7.302870907652935e-05, 'epoch': 0.02}
{'loss': 3.3009, 'grad_norm': 3.665231481634529, 'learning_rate': 7.346239866687884e-05, 'epoch': 0.03}
{'loss': 3.3278, 'grad_norm': 3.0455743605648475, 'learning_rate': 7.388655584182561e-05, 'epoch': 0.03}
{'loss': 3.2852, 'grad_norm': 3.369550190232677, 'learning_rate': 7.430159064619815e-05, 'epoch': 0.03}
{'loss': 3.289, 'grad_norm': 2.9674973907073583, 'learning_rate': 7.470788722330328e-05, 'epoch': 0.03}
{'loss': 3.2196, 'grad_norm': 4.879217621982148, 'learning_rate': 7.510580595152906e-05, 'epoch': 0.03}
{'loss': 3.3142, 'grad_norm': 4.2068925159924495, 'learning_rate': 7.549568536508311e-05, 'epoch': 0.03}
{'loss': 3.217, 'grad_norm': 4.0800248321076715, 'learning_rate': 7.587784388451922e-05, 'epoch': 0.03}
{'loss': 3.2959, 'grad_norm': 3.619362624102279, 'learning_rate': 7.625258137921846e-05, 'epoch': 0.03}
{'loss': 3.3096, 'grad_norm': 3.42306678955108, 'learning_rate': 7.662018058103422e-05, 'epoch': 0.03}
{'loss': 3.33, 'grad_norm': 3.3999407370395236, 'learning_rate': 7.698090836579666e-05, 'epoch': 0.03}
{'loss': 3.3533, 'grad_norm': 4.586507264701557, 'learning_rate': 7.733501691722702e-05, 'epoch': 0.03}
{'loss': 3.3764, 'grad_norm': 4.300183385442707, 'learning_rate': 7.768274478597721e-05, 'epoch': 0.03}
{'loss': 3.3511, 'grad_norm': 4.012414977696982, 'learning_rate': 7.802431785493342e-05, 'epoch': 0.03}
{'loss': 3.4225, 'grad_norm': 3.680898414493041, 'learning_rate': 7.835995022056723e-05, 'epoch': 0.03}
{'loss': 3.3174, 'grad_norm': 4.018632408308263, 'learning_rate': 7.868984499894594e-05, 'epoch': 0.03}
{'loss': 3.3729, 'grad_norm': 5.660437619710234, 'learning_rate': 7.901419506400092e-05, 'epoch': 0.03}
{'loss': 3.3162, 'grad_norm': 6.065059790006003, 'learning_rate': 7.933318372477351e-05, 'epoch': 0.03}
{'loss': 3.2836, 'grad_norm': 3.725567762898002, 'learning_rate': 7.964698534759244e-05, 'epoch': 0.03}
{'loss': 3.3529, 'grad_norm': 5.20801632742952, 'learning_rate': 7.995576592847059e-05, 'epoch': 0.04}
{'loss': 3.3809, 'grad_norm': 3.8727960779473976, 'learning_rate': 8.025968362042534e-05, 'epoch': 0.04}
{'loss': 3.3148, 'grad_norm': 3.928978190481191, 'learning_rate': 8.055888921991611e-05, 'epoch': 0.04}
{'loss': 3.3325, 'grad_norm': 3.8311343450965305, 'learning_rate': 8.085352661614482e-05, 'epoch': 0.04}
{'loss': 3.2549, 'grad_norm': 4.940480744911848, 'learning_rate': 8.114373320657048e-05, 'epoch': 0.04}
{'loss': 3.2142, 'grad_norm': 2.7211949546759344, 'learning_rate': 8.142964028164131e-05, 'epoch': 0.04}
{'loss': 3.2578, 'grad_norm': 3.4538211724882806, 'learning_rate': 8.171137338144109e-05, 'epoch': 0.04}
{'loss': 3.2236, 'grad_norm': 4.4170112955243885, 'learning_rate': 8.198905262667487e-05, 'epoch': 0.04}
{'loss': 3.2637, 'grad_norm': 8.760025820062637, 'learning_rate': 8.226279302617799e-05, 'epoch': 0.04}
{'loss': 3.3931, 'grad_norm': 8.138221664188606, 'learning_rate': 8.253270476291873e-05, 'epoch': 0.04}
{'loss': 3.5203, 'grad_norm': 6.3689073357881, 'learning_rate': 8.279889346027486e-05, 'epoch': 0.04}
{'loss': 3.7925, 'grad_norm': 24.749669544826755, 'learning_rate': 8.306146043019416e-05, 'epoch': 0.04}
{'loss': 3.7345, 'grad_norm': 10.451356746811443, 'learning_rate': 8.332050290469858e-05, 'epoch': 0.04}
{'loss': 3.6546, 'grad_norm': 7.227436602541042, 'learning_rate': 8.35761142520555e-05, 'epoch': 0.04}
{'loss': 3.6346, 'grad_norm': 14.038377748325749, 'learning_rate': 8.382838417881877e-05, 'epoch': 0.04}
{'loss': 3.5551, 'grad_norm': 6.579851155090404, 'learning_rate': 8.407739891883392e-05, 'epoch': 0.04}
{'loss': 3.5236, 'grad_norm': 5.665340305756513, 'learning_rate': 8.432324141020374e-05, 'epoch': 0.04}
{'loss': 3.4698, 'grad_norm': 3.449036538310741, 'learning_rate': 8.4565991461123e-05, 'epoch': 0.05}
{'loss': 3.4827, 'grad_norm': 7.177547031993895, 'learning_rate': 8.480572590541213e-05, 'epoch': 0.05}
{'loss': 3.4668, 'grad_norm': 5.692140467719331, 'learning_rate': 8.504251874850807e-05, 'epoch': 0.05}
{'loss': 3.4885, 'grad_norm': 11.14690582724571, 'learning_rate': 8.527644130460676e-05, 'epoch': 0.05}
{'loss': 3.5164, 'grad_norm': 17.540054259265244, 'learning_rate': 8.550756232559267e-05, 'epoch': 0.05}
{'loss': 3.4557, 'grad_norm': 13.941001828506511, 'learning_rate': 8.573594812233897e-05, 'epoch': 0.05}
{'loss': 3.4076, 'grad_norm': 14.099752632297923, 'learning_rate': 8.596166267891345e-05, 'epoch': 0.05}
{'loss': 3.3915, 'grad_norm': 8.335166831174744, 'learning_rate': 8.61847677601827e-05, 'epoch': 0.05}
{'loss': 3.3478, 'grad_norm': 4.3173822602705485, 'learning_rate': 8.640532301326693e-05, 'epoch': 0.05}
{'loss': 3.379, 'grad_norm': 3.5358328998921134, 'learning_rate': 8.662338606326244e-05, 'epoch': 0.05}
{'loss': 3.3278, 'grad_norm': 2.324838148656794, 'learning_rate': 8.683901260361639e-05, 'epoch': 0.05}
{'loss': 3.2956, 'grad_norm': 2.978188698758868, 'learning_rate': 8.705225648150786e-05, 'epoch': 0.05}
{'loss': 3.3752, 'grad_norm': 3.558534657294422, 'learning_rate': 8.726316977856316e-05, 'epoch': 0.05}
{'loss': 3.297, 'grad_norm': 2.6162209619185517, 'learning_rate': 8.74718028872079e-05, 'epoch': 0.05}
{'loss': 3.3908, 'grad_norm': 3.4993183289599448, 'learning_rate': 8.767820458293571e-05, 'epoch': 0.05}
{'loss': 3.3143, 'grad_norm': 7.003510003867174, 'learning_rate': 8.788242209275317e-05, 'epoch': 0.05}
{'loss': 3.367, 'grad_norm': 2.4005269942256646, 'learning_rate': 8.808450116004083e-05, 'epoch': 0.05}
{'loss': 3.3084, 'grad_norm': 2.1793260719051535, 'learning_rate': 8.828448610605352e-05, 'epoch': 0.05}
{'loss': 3.3272, 'grad_norm': 1.934338358838652, 'learning_rate': 8.848241988826662e-05, 'epoch': 0.06}
{'loss': 3.3887, 'grad_norm': 2.2161083345270165, 'learning_rate': 8.86783441557603e-05, 'epoch': 0.06}
{'loss': 3.3712, 'grad_norm': 1.7335422338023214, 'learning_rate': 8.887229930182069e-05, 'epoch': 0.06}
{'loss': 3.3704, 'grad_norm': 2.3263976582477333, 'learning_rate': 8.906432451392371e-05, 'epoch': 0.06}
{'loss': 3.2751, 'grad_norm': 2.1493012512635032, 'learning_rate': 8.925445782125677e-05, 'epoch': 0.06}
{'loss': 3.1822, 'grad_norm': 2.710806104130632, 'learning_rate': 8.944273613992208e-05, 'epoch': 0.06}
{'loss': 3.2715, 'grad_norm': 4.241063539884874, 'learning_rate': 8.9629195315956e-05, 'epoch': 0.06}
{'loss': 3.231, 'grad_norm': 3.775381783890967, 'learning_rate': 8.981387016629034e-05, 'epoch': 0.06}
{'loss': 3.2289, 'grad_norm': 2.0524101836129383, 'learning_rate': 8.999679451777177e-05, 'epoch': 0.06}
{'loss': 3.3097, 'grad_norm': 1.8165285787100922, 'learning_rate': 9.017800124434973e-05, 'epoch': 0.06}
{'loss': 3.3157, 'grad_norm': 1.7152104083519384, 'learning_rate': 9.035752230253422e-05, 'epoch': 0.06}
{'loss': 3.3451, 'grad_norm': 1.788858393724462, 'learning_rate': 9.053538876521971e-05, 'epoch': 0.06}
{'loss': 3.3216, 'grad_norm': 2.0461733248728327, 'learning_rate': 9.071163085396459e-05, 'epoch': 0.06}
{'loss': 3.2547, 'grad_norm': 1.7235779664388358, 'learning_rate': 9.088627796980962e-05, 'epoch': 0.06}
{'loss': 3.105, 'grad_norm': 2.8650193501030397, 'learning_rate': 9.105935872271476e-05, 'epoch': 0.06}
{'loss': 3.2587, 'grad_norm': 2.653090718725217, 'learning_rate': 9.12309009596873e-05, 'epoch': 0.06}
{'loss': 3.1957, 'grad_norm': 2.5122046111959917, 'learning_rate': 9.140093179167099e-05, 'epoch': 0.06}
{'loss': 3.3703, 'grad_norm': 2.545595186856441, 'learning_rate': 9.156947761926084e-05, 'epoch': 0.06}
{'loss': 3.3152, 'grad_norm': 1.6807627939840628, 'learning_rate': 9.173656415730479e-05, 'epoch': 0.07}
{'loss': 3.2997, 'grad_norm': 1.498655431848433, 'learning_rate': 9.190221645844939e-05, 'epoch': 0.07}
{'loss': 3.3759, 'grad_norm': 1.5054116381277818, 'learning_rate': 9.206645893568349e-05, 'epoch': 0.07}
{'loss': 3.3435, 'grad_norm': 1.5300947229820798, 'learning_rate': 9.222931538393072e-05, 'epoch': 0.07}
{'loss': 3.2756, 'grad_norm': 1.514861789731702, 'learning_rate': 9.239080900073849e-05, 'epoch': 0.07}
{'loss': 2.9732, 'grad_norm': 2.444576944989035, 'learning_rate': 9.255096240610849e-05, 'epoch': 0.07}
{'loss': 3.2444, 'grad_norm': 2.16752771238851, 'learning_rate': 9.270979766151107e-05, 'epoch': 0.07}
{'loss': 3.2071, 'grad_norm': 2.31458188757063, 'learning_rate': 9.286733628812353e-05, 'epoch': 0.07}
