  0%|                                                                                                                                                | 0/4228 [00:00<?, ?it/s]You're using a XLMRobertaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
/opt/conda/envs/ptca/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2888: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
/opt/conda/envs/ptca/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:600: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/opt/conda/envs/ptca/lib/python3.10/site-packages/torch/utils/checkpoint.py:295: FutureWarning: `torch.cpu.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cpu', args...)` instead.
  with torch.enable_grad(), device_autocast_ctx, torch.cpu.amp.autocast(**ctx.cpu_autocast_kwargs):  # type: ignore[attr-defined]
                                                                                                                                                                              
{'loss': 4.0694, 'grad_norm': 7.331561088562012, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 2.8879, 'grad_norm': 19.14505386352539, 'learning_rate': 6.87717401910521e-06, 'epoch': 0.0}
{'loss': 3.6756, 'grad_norm': 2.8111464977264404, 'learning_rate': 1.090006293121556e-05, 'epoch': 0.0}
{'loss': 3.7233, 'grad_norm': 8.59338092803955, 'learning_rate': 1.375434803821042e-05, 'epoch': 0.0}
{'loss': 3.6745, 'grad_norm': 6.986236095428467, 'learning_rate': 1.5968303568389824e-05, 'epoch': 0.0}
{'loss': 3.6901, 'grad_norm': 20.333940505981445, 'learning_rate': 1.777723695032077e-05, 'epoch': 0.0}
{'loss': 3.6846, 'grad_norm': 2.706173896789551, 'learning_rate': 1.9306668332381687e-05, 'epoch': 0.0}
{'loss': 2.8805, 'grad_norm': 10.295538902282715, 'learning_rate': 2.0631522057315627e-05, 'epoch': 0.0}
{'loss': 3.6221, 'grad_norm': 2.105114221572876, 'learning_rate': 2.180012586243112e-05, 'epoch': 0.0}
{'loss': 3.46, 'grad_norm': 5.997476100921631, 'learning_rate': 2.2845477587495036e-05, 'epoch': 0.0}
{'loss': 3.5841, 'grad_norm': 2.183689832687378, 'learning_rate': 2.3791113248563504e-05, 'epoch': 0.01}
