  0%|                                                                                                                                                | 0/4228 [00:00<?, ?it/s]You're using a XLMRobertaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
/opt/conda/envs/ptca/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2888: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
/opt/conda/envs/ptca/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:600: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/opt/conda/envs/ptca/lib/python3.10/site-packages/torch/utils/checkpoint.py:295: FutureWarning: `torch.cpu.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cpu', args...)` instead.
  with torch.enable_grad(), device_autocast_ctx, torch.cpu.amp.autocast(**ctx.cpu_autocast_kwargs):  # type: ignore[attr-defined]
                                                                                                                                                                              
{'loss': 4.0694, 'grad_norm': 7.331561088562012, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 2.8879, 'grad_norm': 19.14505386352539, 'learning_rate': 5.730978349254341e-06, 'epoch': 0.0}
{'loss': 3.6756, 'grad_norm': 2.8111464977264404, 'learning_rate': 9.083385776012966e-06, 'epoch': 0.0}
{'loss': 3.7159, 'grad_norm': 21.300077438354492, 'learning_rate': 1.1461956698508682e-05, 'epoch': 0.0}
{'loss': 3.6761, 'grad_norm': 2.5152840614318848, 'learning_rate': 1.3306919640324853e-05, 'epoch': 0.0}
{'loss': 3.6986, 'grad_norm': 8.542716979980469, 'learning_rate': 1.4814364125267308e-05, 'epoch': 0.0}
{'loss': 3.6904, 'grad_norm': 2.7403409481048584, 'learning_rate': 1.6088890276984738e-05, 'epoch': 0.0}
{'loss': 2.8987, 'grad_norm': 10.432003021240234, 'learning_rate': 1.7192935047763024e-05, 'epoch': 0.0}
{'loss': 3.6359, 'grad_norm': 2.494516134262085, 'learning_rate': 1.816677155202593e-05, 'epoch': 0.0}
{'loss': 3.4667, 'grad_norm': 4.530135631561279, 'learning_rate': 1.9037897989579198e-05, 'epoch': 0.0}
{'loss': 3.5962, 'grad_norm': 2.2466413974761963, 'learning_rate': 1.9825927707136254e-05, 'epoch': 0.01}
{'loss': 3.3709, 'grad_norm': 5.049454689025879, 'learning_rate': 2.054534247452165e-05, 'epoch': 0.01}
{'loss': 3.5776, 'grad_norm': 3.168933153152466, 'learning_rate': 2.120713990738744e-05, 'epoch': 0.01}
{'loss': 3.5726, 'grad_norm': 2.4023072719573975, 'learning_rate': 2.1819868626239078e-05, 'epoch': 0.01}
{'loss': 3.3223, 'grad_norm': 2.433314800262451, 'learning_rate': 2.239030541633782e-05, 'epoch': 0.01}
{'loss': 2.2144, 'grad_norm': 9.750378608703613, 'learning_rate': 2.2923913397017364e-05, 'epoch': 0.01}
{'loss': 3.4966, 'grad_norm': 2.698000431060791, 'learning_rate': 2.342516104658733e-05, 'epoch': 0.01}
{'loss': 3.616, 'grad_norm': 6.857919216156006, 'learning_rate': 2.389774990128027e-05, 'epoch': 0.01}
{'loss': 3.6566, 'grad_norm': 4.685941219329834, 'learning_rate': 2.434478060874702e-05, 'epoch': 0.01}
{'loss': 3.456, 'grad_norm': 2.4663989543914795, 'learning_rate': 2.476887633883354e-05, 'epoch': 0.01}
{'loss': 3.4278, 'grad_norm': 2.4874088764190674, 'learning_rate': 2.5172276052997707e-05, 'epoch': 0.01}
{'loss': 3.4528, 'grad_norm': 2.5218300819396973, 'learning_rate': 2.5556906056390594e-05, 'epoch': 0.01}
{'loss': 3.588, 'grad_norm': 5.1358819007873535, 'learning_rate': 2.592443563167336e-05, 'epoch': 0.01}
{'loss': 3.4276, 'grad_norm': 10.11953353881836, 'learning_rate': 2.627632082377599e-05, 'epoch': 0.01}
{'loss': 3.3995, 'grad_norm': 2.993708610534668, 'learning_rate': 2.6613839280649706e-05, 'epoch': 0.01}
{'loss': 3.438, 'grad_norm': 2.7351696491241455, 'learning_rate': 2.6938118256641782e-05, 'epoch': 0.01}
{'loss': 3.5762, 'grad_norm': 3.311959743499756, 'learning_rate': 2.7250157328038894e-05, 'epoch': 0.01}
